Job Title,Employment Type,Expertise Level,Company Location,Salary in USD,Company Size,Year
Staff Data Analyst,Contract,Junior,Canada,44753,Large,2020
AI Engineer,Full-Time,Junior,Germany,35000,Medium,2023
AI Developer,Full-Time,Expert,Italy,53984,Small,2023
Machine Learning Engineer,Full-Time,Expert,United States,226600,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,140100,Medium,2023
Machine Learning Scientist,Full-Time,Expert,Canada,204500,Medium,2023
Machine Learning Scientist,Full-Time,Expert,Canada,142200,Medium,2023
Research Scientist,Full-Time,Expert,United States,220000,Medium,2023
Research Scientist,Full-Time,Expert,United States,140000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,204600,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,126500,Medium,2023
Research Analyst,Full-Time,Expert,United States,135960,Medium,2023
Research Analyst,Full-Time,Expert,United States,70960,Medium,2023
Data Engineer,Full-Time,Expert,United States,128750,Medium,2023
Data Engineer,Full-Time,Expert,United States,86250,Medium,2023
Data Engineer,Full-Time,Expert,United Kingdom,110736,Medium,2023
Data Engineer,Full-Time,Expert,United Kingdom,92280,Medium,2023
Data Engineer,Full-Time,Intermediate,Colombia,131000,Medium,2023
Data Engineer,Full-Time,Intermediate,Colombia,88000,Medium,2023
Data Analyst,Full-Time,Expert,United States,185100,Medium,2023
Data Analyst,Full-Time,Expert,United States,133300,Medium,2023
Research Engineer,Full-Time,Expert,United States,180000,Medium,2023
Research Engineer,Full-Time,Expert,United States,150000,Medium,2023
Data Engineer,Full-Time,Expert,United States,90000,Medium,2023
Data Engineer,Full-Time,Expert,United States,75000,Medium,2023
AI Developer,Full-Time,Junior,United States,130000,Large,2023
Data Analyst,Full-Time,Junior,India,20673,Large,2023
Data Analyst,Full-Time,Expert,United Kingdom,73824,Medium,2023
Data Analyst,Full-Time,Expert,United Kingdom,61520,Medium,2023
Data Manager,Full-Time,Intermediate,United States,115500,Medium,2023
Data Manager,Full-Time,Intermediate,United States,73500,Medium,2023
ML Engineer,Full-Time,Intermediate,United States,125000,Medium,2023
ML Engineer,Full-Time,Intermediate,United States,85000,Medium,2023
Data Manager,Full-Time,Intermediate,United States,80000,Medium,2023
Data Manager,Full-Time,Intermediate,United States,70000,Medium,2023
Data Scientist,Full-Time,Expert,United States,260000,Medium,2023
Data Scientist,Full-Time,Expert,United States,160000,Medium,2023
Data Manager,Full-Time,Expert,United States,105000,Medium,2023
Data Manager,Full-Time,Expert,United States,80000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,Canada,150000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,Canada,95000,Medium,2023
Data Engineer,Full-Time,Expert,United States,204750,Medium,2023
Data Engineer,Full-Time,Expert,United States,153550,Medium,2023
Data Analyst,Full-Time,Expert,United States,150000,Medium,2023
Data Analyst,Full-Time,Expert,United States,120000,Medium,2023
Data Engineer,Full-Time,Intermediate,United States,150000,Medium,2023
Data Engineer,Full-Time,Intermediate,United States,110000,Medium,2023
Data Engineer,Full-Time,Expert,United States,200000,Medium,2023
Data Engineer,Full-Time,Expert,United States,141000,Medium,2023
Data Engineer,Full-Time,Expert,United States,230000,Medium,2023
Data Engineer,Full-Time,Expert,United States,175000,Medium,2023
Research Scientist,Full-Time,Expert,United States,150000,Medium,2023
Research Scientist,Full-Time,Expert,United States,120000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,207611,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,127876,Medium,2023
Data Analyst,Full-Time,Expert,United States,175000,Medium,2023
Data Analyst,Full-Time,Expert,United States,135000,Medium,2023
Data Analyst,Full-Time,Expert,United States,100000,Medium,2023
Data Analyst,Full-Time,Expert,United States,75000,Medium,2023
Data Scientist,Full-Time,Intermediate,United States,170000,Medium,2023
Data Scientist,Full-Time,Intermediate,United States,144500,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,204500,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,142200,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,255360,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,212800,Medium,2023
Data Engineer,Full-Time,Expert,United States,170000,Medium,2023
Data Engineer,Full-Time,Expert,United States,100000,Medium,2023
Data Analyst,Full-Time,Expert,United States,106400,Medium,2023
Data Analyst,Full-Time,Expert,United States,81800,Medium,2023
Data Developer,Full-Time,Intermediate,United States,130000,Medium,2023
Data Developer,Full-Time,Intermediate,United States,69139,Medium,2023
Business Intelligence Analyst,Full-Time,Intermediate,Canada,100631,Medium,2023
Business Intelligence Analyst,Full-Time,Intermediate,Canada,80505,Medium,2023
Data Infrastructure Engineer,Full-Time,Expert,United States,300105,Medium,2023
Data Infrastructure Engineer,Full-Time,Expert,United States,151090,Medium,2023
Machine Learning Software Engineer,Full-Time,Intermediate,United States,217600,Medium,2023
Machine Learning Software Engineer,Full-Time,Intermediate,United States,145000,Medium,2023
Data Scientist,Full-Time,Intermediate,United Kingdom,79976,Medium,2023
Data Scientist,Full-Time,Intermediate,United Kingdom,55368,Medium,2023
Data Engineer,Full-Time,Expert,United States,129000,Medium,2023
Data Engineer,Full-Time,Expert,United States,110000,Medium,2023
Research Analyst,Full-Time,Expert,United States,185000,Medium,2023
Research Analyst,Full-Time,Expert,United States,50000,Medium,2023
Data Engineer,Full-Time,Expert,United States,210000,Medium,2023
Data Engineer,Full-Time,Expert,United States,108000,Medium,2023
Data Analyst,Full-Time,Intermediate,United States,80000,Medium,2023
Data Analyst,Full-Time,Intermediate,United States,59500,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,250000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,173400,Medium,2023
Data Architect,Full-Time,Expert,United States,215000,Medium,2023
Data Architect,Full-Time,Expert,United States,153000,Medium,2023
Machine Learning Scientist,Full-Time,Expert,United Kingdom,210398,Medium,2023
Machine Learning Scientist,Full-Time,Expert,United Kingdom,147648,Medium,2023
Data Analyst,Full-Time,Expert,United States,105000,Medium,2023
Machine Learning Operations Engineer,Full-Time,Expert,United States,60000,Large,2023
AI Scientist,Full-Time,Intermediate,"Korea, Republic of",54000,Small,2023
Data Engineer,Full-Time,Expert,United States,202000,Medium,2023
Data Engineer,Full-Time,Expert,United States,132000,Medium,2023
Data Scientist,Full-Time,Expert,United States,185900,Medium,2023
Data Scientist,Full-Time,Expert,United States,129300,Medium,2023
Data Analyst,Full-Time,Intermediate,United Kingdom,73824,Medium,2023
Data Analyst,Full-Time,Intermediate,United Kingdom,61520,Medium,2023
Data Scientist,Full-Time,Expert,United States,316000,Medium,2023
Data Scientist,Full-Time,Expert,United States,202000,Medium,2023
AI Research Engineer,Full-Time,Intermediate,United Kingdom,81206,Medium,2023
Head of Machine Learning,Full-Time,Director,United States,330000,Medium,2023
Head of Machine Learning,Full-Time,Director,United States,188000,Medium,2023
BI Analyst,Full-Time,Intermediate,United States,140000,Medium,2023
BI Analyst,Full-Time,Intermediate,United States,110000,Medium,2023
Machine Learning Researcher,Full-Time,Expert,United States,190000,Medium,2023
Machine Learning Researcher,Full-Time,Expert,United States,170000,Medium,2023
Data Engineer,Full-Time,Expert,United States,180000,Medium,2023
Data Engineer,Full-Time,Expert,United States,162000,Medium,2023
Research Analyst,Full-Time,Expert,United States,150000,Medium,2023
Research Analyst,Full-Time,Expert,United States,125000,Medium,2023
Data Scientist,Full-Time,Expert,United States,140000,Medium,2023
Data Scientist,Full-Time,Expert,United States,105000,Medium,2023
Data Specialist,Full-Time,Intermediate,United States,90000,Medium,2023
Data Specialist,Full-Time,Intermediate,United States,73000,Medium,2023
Data Scientist,Full-Time,Intermediate,United States,145000,Medium,2023
Data Scientist,Full-Time,Intermediate,United States,115000,Medium,2023
Data Manager,Full-Time,Expert,United States,145000,Medium,2023
Data Manager,Full-Time,Expert,United States,130000,Medium,2023
Decision Scientist,Full-Time,Intermediate,United States,204500,Medium,2023
Decision Scientist,Full-Time,Intermediate,United States,142200,Medium,2023
Business Intelligence Analyst,Full-Time,Intermediate,United States,150000,Medium,2023
Business Intelligence Analyst,Full-Time,Intermediate,United States,135000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,247500,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,172200,Medium,2023
Head of Data,Full-Time,Director,United States,329500,Medium,2023
Head of Data,Full-Time,Director,United States,269600,Medium,2023
Business Intelligence Engineer,Full-Time,Expert,United States,225000,Medium,2023
Business Intelligence Engineer,Full-Time,Expert,United States,156400,Medium,2023
Data Engineer,Full-Time,Expert,United States,190000,Medium,2023
Data Science Lead,Full-Time,Intermediate,United States,185900,Medium,2023
Data Science Lead,Full-Time,Intermediate,United States,129300,Medium,2023
Data Analyst,Full-Time,Intermediate,United States,70000,Medium,2023
Data Scientist,Full-Time,Expert,United States,204500,Medium,2023
Data Scientist,Full-Time,Expert,United States,138900,Medium,2023
Data Engineer,Full-Time,Intermediate,United States,146000,Medium,2023
Data Engineer,Full-Time,Intermediate,United States,97000,Medium,2023
Data Engineer,Full-Time,Expert,United States,147100,Medium,2023
Data Engineer,Full-Time,Expert,United States,90700,Medium,2023
Data Scientist,Full-Time,Expert,United States,257000,Medium,2023
Data Scientist,Full-Time,Expert,United States,197000,Medium,2023
Business Intelligence Engineer,Full-Time,Expert,United States,140000,Medium,2023
Business Intelligence Engineer,Full-Time,Expert,United States,120000,Medium,2023
Data Analyst,Full-Time,Expert,United States,85000,Medium,2023
Data Analyst,Full-Time,Expert,United States,79000,Medium,2023
Data Analyst,Full-Time,Expert,United States,93919,Medium,2023
Data Analyst,Full-Time,Expert,United States,51962,Medium,2023
Data Engineer,Full-Time,Expert,United States,155000,Medium,2023
Data Engineer,Full-Time,Expert,United States,84800,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,250500,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,166600,Medium,2023
Data Scientist,Full-Time,Intermediate,United Kingdom,135344,Medium,2023
Data Scientist,Full-Time,Intermediate,United Kingdom,98432,Medium,2023
Data Engineer,Full-Time,Director,United States,174500,Medium,2023
Data Engineer,Full-Time,Director,United States,113000,Medium,2023
Data Engineer,Full-Time,Expert,United States,135000,Medium,2023
Head of Data,Full-Time,Director,United Kingdom,246080,Medium,2023
Head of Data,Full-Time,Director,United Kingdom,184560,Medium,2023
Data Analyst,Full-Time,Intermediate,Estonia,53120,Medium,2023
Data Analyst,Full-Time,Intermediate,Estonia,33686,Medium,2023
Data Engineer,Full-Time,Expert,United States,260000,Medium,2023
Data Engineer,Full-Time,Expert,United States,225000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,340000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,212000,Medium,2023
Analytics Engineer,Full-Time,Expert,United States,213600,Medium,2023
Analytics Engineer,Full-Time,Expert,United States,142400,Medium,2023
Data Scientist,Full-Time,Expert,United States,153600,Medium,2023
Data Scientist,Full-Time,Expert,United States,106800,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,309000,Medium,2023
